comment,replies,date,user_name
"💸 Aprende sobre finanzas, ganar dinero online y cómo yo personalmente gano dinero en internet: https://cursos.finanzasplus.co/",[],2024-02-24T16:08:21Z,@FinanzasPlus
"Pero lo que entiendo es que le va mal por su decisión y no por tyba, no? O me perdí de algo...",[],2024-03-02T20:17:47Z,@oscargranada7247
Hay un video mas reciente de Tyba?,[],2024-02-22T00:26:15Z,@logospod-cast9574
puedes pasar la plantilla de ese excel?,[],2024-02-02T02:22:22Z,@JesusMartinez-oi4pb
😢,[],2024-01-29T19:03:50Z,@juancarlossuarez2214
📖 Cómo Ganar Dinero Por Internet Desde Cualquier Parte Del Mundo: https://finanzasplus.co/ganar-dinero-online,[],2024-01-26T19:23:59Z,@FinanzasPlus
Hablas mucha mierda y no dices nada concreto,[],2024-01-21T16:43:35Z,@yeisonsanchez240
😭,[],2024-01-21T12:58:21Z,@user-pj2nr5kx4r
¿si mi inversion es negativa tengo que pagar algo de mi bolsillo?,[],2024-01-16T15:32:42Z,@cachitodepeliculas6540
Buen dia podría hablar sobre el fondo de pensión.... gracias,[],2024-01-04T09:39:11Z,@alexherrera1282
🤑,[],2023-12-22T02:57:49Z,@samuelshalomramirezpaniagu5071
Es rentable acciones colombianas en tyba?,[],2023-11-30T22:04:57Z,@bernardo-jq9ii
"Yo estoy invirtiendo en Tyba en un portafolio de dos FIC de renta fija, solo en 5 días; los 100.000 me dieron 200 pesos, lo cual no es nada, pero en comparación con bancos tradicionales, esos mismos 100.000 no generarían ni 50 pesos en un mes. Por tanto la recomiendo muchísimo, y para los que susceptibles a los FIC de gran volabilidad, les recomiendo mucho ir a la renta fija.",[],2023-11-30T17:07:14Z,@pedrosanabria250
Yo se el secreto mi hermano.,[],2023-10-15T12:50:16Z,@carlosorozco6515
"Las altas tarifas de administración, el 4x1000, la retención en la fuente y otros cobros, hacen que ganen el Estado, Tyba, Credicorp, menos el ""tyber"".",[],2023-10-10T21:44:46Z,@andresreyes-hc2kf
"Maldita la hora en que invertí en esa aplicacion, tiempo y plata perdida",[],2023-09-19T15:40:20Z,@ivanuruena196
😭,[],2023-09-05T09:24:02Z,@RAYYAY114
😅😢,[],2023-09-03T06:16:17Z,@carlos68830072
"Tyba a crecido mucho y creo que por esa razón bajaron las recompensas.
He invertido en el pocket, y me ha ido mucho mejor que en acciones globales y los nacionales, recomiendo mucho pocket
Ha invertido en cdt y ps no es la panasea pero por lo menos el dinero ha crecido y protegido de la inflamación.",[],2023-09-03T06:14:43Z,@carlos68830072
A mi me ha ido muy bien; va mucho en el portafolio que inviertas de acuerdo a las situaciones actuales economicas,[],2023-09-02T16:24:18Z,@SebastianPuerta528
"Ese fondo global venía bien, pero lo que hizo tyba fue dejar de seguir los etf del S&P 500 😢",[],2023-08-26T03:11:41Z,@jaisongonzalez2031
😭 una carita de aprendizaje,[],2023-08-23T00:57:15Z,@felixgarcia4328
Igual el de Renta fija colombia lleva dos meses en pérdidas,[],2023-08-17T14:19:37Z,@danielsilvaescobar
Yo solo le metí a fondo de inversión colectiva y está fino,[],2023-08-11T16:24:40Z,@juanestebanortega7785
"Una pregunta, uno como sabe en qué fondo invertir?","['Todo depende de tu perfil de inversionista, tu nivel de riesgo, valor a invertir y entre otros.']",2023-08-08T23:14:22Z,@SofiaPerez-cd9wv
"Hola Checho,  ¿qué pasaría si abriera un CDT y lo comparara con las rentas fijas que ya tiene?
¿iría en guanacias?
¿iría en perdidas? o por el contrario 
¿rentaría lo mismo que las rentas fijas? 
saludos.",[],2023-07-31T20:43:16Z,@johneestupinanabril1524
Resumen: Renta fija Colombia está siendo el mejor fondo de inversión hace 6 meses y Fondo global acciones está en el suelo hace tiempo.,[],2023-07-25T15:59:34Z,@julianarbelaez6922
😭,[],2023-07-19T21:29:07Z,@johansebastian1061
😭Yo he invertido en tyba pocket 100000 en febrero y ha ganado 5700 a Julio.,['Las inversiones son de paciencia. 🤗'],2023-07-17T21:56:43Z,@DidiRoca
Me interesa que revises el tema de Trii porque si realice una inversión sobre varias acciones del mercado Colombiano que percibí estaba en mínimos históricos. Personalmente estoy planeando tenerlas ahí por lo menos hasta el cambio de gobierno y estoy seguro que el valor sube mucho. Esperemos a ver,[],2023-07-15T21:36:23Z,@rafaelcardenas515
En Tyba estoy en el mismo fondo y con el mismo desempeño de todos modos tengo una cantidad inferior a la tuya por lo que no tengo necesidad de sacar ese dinero por ahora. Creo que llegara el momento en que se recupere,[],2023-07-15T21:34:49Z,@rafaelcardenas515
