comment,replies,date,user_name
en estos dias vale la pena imvertir en fondos mutuos o plazo fijo,"['Hola, depende de tu perfil. Gracias por comentar, darle like al video y suscribirte al canal!!', 'Eso depende tu capital?\u200b@@luisccaccya-finanzaspersonales']",2024-02-23T08:49:30Z,@pilicz1437
"Hola, pueden invertir extranjeros residentes? Y extranjeros fuera de Perú en la bolsa de valores de Lima?",[],2024-02-18T22:21:40Z,@diegoguacaran2464
"Otra consulta Luis, los de flip dicen q se encargan de pagar los impuestos de sus afiliados, q es el 5%, pero aun asi habria q pagar impuestos por ingresos de fuente extranjera? Eso entendi viendo tu video de pago de impuestos con el sr Eder Fuentes","['Hola Ronald, no, al tratarse de un fondo mutuo domiciliado en Perú solo se te retiene ese 5%. Gracias por comentar, darle like al video y suscribirte al canal!!']",2024-02-17T08:10:13Z,@ronaldbarony6821
"Hola amigo, tu mejor sugerencia para invertir a largo plazo? qué medio?","['Hola Luis, en mi opinion bolsa de valores, si quieres algo mas pasivo, ETFs. Gracias por comentar, darle like al video y suscribirte al canal!!', '@@luisccaccya-finanzaspersonales bro y no es mejor plazo fijo en bancos? lo que busco es en resumen mayor ganancia con el pasar de los años, algo que aumente exponencialmente, te mantienes con dicha idea? gracias de antemano', '@@luisangelmendozachate donde dejas la variación de la inflación? te aseguro que si inviertes tu dinero a largo en plazo fijo , en 10 años tu dinero valdrá la mitad o menos. piénsalo. a largo, yo compro acciones y las tengo de por vida, y voy ganando reajustes en la bolsa por la revalorización de activo, y ganando dividendos', '\u200b@@luisangelmendozachate Te recomiendo el Banco Ripley con la cuenta de ahorro Plus. \n\ntiene una tasa anual del 7.0 % aunque últimamente ha estado cambiando, pero igual es una buena opción si tienes dinero sobrante.']",2024-02-10T19:58:08Z,@luisangelmendozachate
"Que brocker recomiendas para invertir en etfs, y en cuáles invertirias tu?","[""Hola, para el extranjero Hapi e Interactive Brokers, personalmente no invierto en ETF's, y si lo haría seguiría la estrategia de Ray Dalio (mercados desarrollados, emergentes, materias primas, oro y bonos). Gracias por comentar, darle like al video y suscribirte al canal!!"", '\u200b@@luisccaccya-finanzaspersonalesRey dailo es un canal de YouTube? porfavor contestame']",2024-02-09T18:52:43Z,@ronaldbarony6821
Como combinarias un fondo de inversion con un deposito a plazo siendo conservador y buscando una mejor rentabilidad?,"[""Hola, usaría ETF's y depositos a plazo fijo, un 70% en DPF y un 30% ETFs (teniendo en cuenta mi edad, no es recomendacion). Gracias por comentar, darle like al video y suscribirte al canal!!""]",2024-02-06T21:42:01Z,@rumytaupier
Consejo: eduquense y eliminen el intermediario e inviertan directamente en la bolsa,"['Hola, es lo ideal. Gracias por comentar, darle like al video y suscribirse al canal!!']",2024-02-05T23:09:12Z,@dannymasias4065
"Otro motivo , es por el tiempo , finalmente lo importante es diversificar",[],2024-02-05T23:03:53Z,@javiermontalvovivar6150
"Otra diferencia en invertir directo un caso es porque el costo de la acción , en un fondo puede ser mucho menos",[],2024-02-05T23:03:10Z,@javiermontalvovivar6150
Para el tema tributario el 5% lo paga el SAF,[],2024-02-05T23:01:53Z,@javiermontalvovivar6150
"Ojo , los fondos administrados o regulados por la SMV deben ser públicos aunque hay privados también","['Hola Javier, los fondos de inversion pueden ser publicos o privados. Gracias por comentar, darle like al video y suscribirse al canal!!']",2024-02-05T22:55:48Z,@javiermontalvovivar6150
Jaja me da risa ver tu miniatura como si fueses experto 😂,"['Hola Roger, captó tu atención. Gracias por comentar, darle like el video y suscribirte al canal!!']",2024-02-05T13:46:37Z,@rogervillanueva7873
Entonces... Daniel Bonifaz está metiendo la rataza con su fondo achorado? :V,"['Hola, en el mercado se encuentran un sinnumero de productos de inversión, lo que sugiero siempre es darle un vistazo y elegir la alternativa que nos convenga. Gracias por comentar, darle like el video y suscribirte al canal!!']",2024-02-05T12:11:25Z,@dragonbrillante
¿Qué opinas de los seguros con devolución que duplican los depósitos al final del periodo?,"['Hola, la rentabilidad es baja normalmente, si quieres proteccion son buenos, la rentabilidad solo es un bonus. Gracias por comentar, darle like el video y suscribirte al canal!!']",2024-02-05T10:49:00Z,@achirizador
