comment,replies,date,user_name
"Hola, muy interesante la información. Nos puedes compartir los links de las fichas técnicas por favor?",[],2024-01-18T19:14:31Z,@luzreina8240
"Buen video. Sin embargo, me queda una duda. ¿Por qué se invierte en tyba y no en Credi Corp Capital? ¿Cuál es la diferencia?",[],2024-01-16T23:41:17Z,@santisthoughts9591
"Es importante hablar de costos asociados, comisiones, impuestos, pagos y deducciones.",[],2024-01-04T00:06:19Z,@edgarnino5799
En caso de que la aplicación de Tyba desaparezca a quien acudir para una reclamación ?,[],2023-12-14T02:09:54Z,@josevalencia1541
"14% EA me suena a tasa de CDT, no tiene mucho sentido pagar los fees de inversión para eso 🤔",[],2023-10-29T11:29:40Z,@dquicenor
"En tyba todos ganan, el estado, los de la APP, credicorp, menos el inversionista ...",[],2023-10-13T13:58:08Z,@andresreyes-hc2kf
Amaria que al estar patrocinado tyba pudiera dar un codigo para las personas que ya hemos hecho mas de 1 inversion:(,[],2023-10-10T03:02:14Z,@jarekcastillo8723
"Amo tus videos, y quisiera saber si usas excel o algo asi para llevar cuentas y asi, en este caso saber si tyba te esta funcionando bien o no, como llevar los datos",[],2023-10-10T00:24:34Z,@jarekcastillo8723
"me puedes decir q piensas de uniox y poolex  que dicen que estan regulados, tiene nit etc etc? gracias",[],2023-09-26T20:18:06Z,@johnescobar9951
Compañeros acá les dejo mi código de tybas KEV519671,[],2023-09-22T18:20:50Z,@kevincastillonavarro225
"muy buen análisis, como siempre.  pregunta:  alguna restricción para invertir desde el extranjero? (siendo colombiano, sin relaciones laborales ni comerciales en Colombia)",[],2023-09-15T19:01:41Z,@mariorestrepo3747
Te comento las comisiones. No SIRVE,[],2023-09-06T15:51:41Z,@yeisonsanchez7211
M.G088684 gana tybs con este código 🪙,[],2023-08-16T17:56:07Z,@mg2054
"He estado analizando los costos de administración y me parece muy costoso, hay alguna opción de brokers  que sea económico y que me permita invertir a largo plazo sin que los costos sea exageradamente altos?",[],2023-08-15T04:59:34Z,@BUCEFALO2509
"Tengo una duda, el tema del 4% de retefuente como se cobra, cuando retiramos del portafolio, cuando sale el dinero de tyba?",[],2023-08-09T07:37:46Z,@miguelcortes0999
Toma tú like buena mujer.,[],2023-08-06T14:26:02Z,@DanielHernandez-vo5qp
"Gabiii. Te sigo desde tus inicios en pandemia y amo
Tus videos. Gracias por educarnos ❤",[],2023-08-01T21:55:11Z,@lauhgarcia2610
Me gustaría un vídeo para la app insights que ofrece inversiones temáticas por sectores.,[],2023-07-27T16:15:52Z,@leoquintero7
"Hola soy nuevo y estoy tratando de aprender del tema , un saludo desde cali",[],2023-07-25T15:28:27Z,@shanecamilopuertaisaza1477
"No me gusta tyba, para devolver 100k pesos se demoraron más de 1 semanas, si uno necesita la plata no sirve. Y la verdad no veo que tengan mucho mejor rendimientos que fondos de bancolombia",[],2023-07-20T01:06:27Z,@HighOctaneNews570
"la aplicación es muy buena, pero la verdad los productos son muy malos, mal administrados y ese es el problema en Tyba no manejas las inversiones sino que delegas eso a la larga solo le da beneficios al administrador. Lo mejor es usar otra aplicación donde directamente inviertas en ETF o acciones por ahora Tyba es un NO muy grande",[],2023-07-13T16:26:35Z,@Perzibal_
Hola Gabi podrías hacer un vídeo de como ahorrar en dólares físicos en tyba gracias,[],2023-06-28T21:36:53Z,@angelicabuitrago545
Se pueden comprar acciones que entreguen dividendos?,[],2023-06-09T23:52:05Z,@edwin90524
"Holaa te felicito por tu canal esta super tu contenido, vi que tienes un video explicando cuanto ganas por youtube, sin embargo ya fue hace mucho tiempo, te importaria actualizarme y aclararme cuanto estas ganando mensualmente por youtube adsesnse? te lo agredeceria :) saludoss",[],2023-05-31T14:59:54Z,@TheJperea10
Podrías hablar sobre el fondo de acciones y Valores que es un ahorro colectivo igual,[],2023-05-27T23:42:42Z,@andresdurango7759
Una pregunta aun sigue siendo viable invertir con a2censo?,[],2023-05-27T21:17:17Z,@mirshanpulgarin9912
Yo me quedé sin el pan y sin el queso en Tyba perdí un millón de pesos.,['Por qué?'],2023-05-27T15:45:47Z,@enlamentedejohn6846
Que piensan de Worban ?,[],2023-05-25T01:20:12Z,@cielocardenas1277
Muy chimbos todos.,[],2023-05-24T01:57:26Z,@juanmanuelsandovalwaked7188
cual es la tasa de interes del CDT actualmente?,[],2023-05-23T20:19:12Z,@eltaspu11
"Hola Gaby buenos días me gustaría conocer mas a fondo el Tyba pocket,  en que tiempo tengo la disponibilidad del dinero que allí coloque,  me queda la duda ya que dicen que semeja una cuenta de ahorro, pero finalmente no lo es?  Gracias","['Yo uso pocket y son unos días hábiles (3 a 5) a veces menos, directamente a la cuenta de ahorro que inscribas en la app. Es como una cuenta de ahorro pero renta un poco más']",2023-05-20T16:28:02Z,@marialudynavaspaez5351
En Que recomiendas  invertir 1 millones,[],2023-05-18T13:26:14Z,@cadani2996
"Gaby, ¿podrías hacer un video hablando de Ubanku? Me llama la atención que actualmente no tienen aplicación móvil y solo se puede acceder mediante el navegador en el celular. Es una Startup Colombiana.",[],2023-05-16T23:32:19Z,@t1m3__
Yo solo he invertido en los CDT virtualesy me ha ido muy bien,[],2023-05-08T21:31:08Z,@miguelmontes8958
Hola Gabi una pregunta podrías hacer un vídeo de cómo ganar dinero por trabajar siendo menor de edad 🥺,[],2023-05-08T19:22:07Z,@ginaluzgutierrez2775
Colectivo Millennial tiene que ser mas viral,[],2023-05-07T02:04:31Z,@wdospinal
porque no nos das una ayudadita de donde y en que invertir para esta crisis que se acerca para todos no solo para los hermanos colombianos porfavor,[],2023-05-04T06:09:09Z,@PLANTASDEPANTANO
"Hola Gaby, puedes hablar sobre Investwe?",[],2023-05-03T16:01:08Z,@ismaeljbc
